location_id,iso3,location_name,gbd_region_id,gbd_region_name,gbd_superregion_id,gbd_superregion_name,type,gbd_analytical_region_id,gbd_analytical_region_name,gbd_analytical_superregion_id,gbd_analytical_superregion_name,deprecated_iso3
6,"CHN","China",5,"East Asia",4,"Southeast Asia, East Asia, and Oceania","admin0",5,"East Asia",4,"Southeast Asia, East Asia, and Oceania","CHN"
7,"PRK","North Korea",5,"East Asia",4,"Southeast Asia, East Asia, and Oceania","admin0",5,"East Asia",4,"Southeast Asia, East Asia, and Oceania","PRK"
8,"TWN","Taiwan",5,"East Asia",4,"Southeast Asia, East Asia, and Oceania","admin0",5,"East Asia",4,"Southeast Asia, East Asia, and Oceania","TWN"
10,"KHM","Cambodia",9,"Southeast Asia",4,"Southeast Asia, East Asia, and Oceania","admin0",9,"Southeast Asia",4,"Southeast Asia, East Asia, and Oceania","KHM"
11,"IDN","Indonesia",9,"Southeast Asia",4,"Southeast Asia, East Asia, and Oceania","admin0",9,"Southeast Asia",4,"Southeast Asia, East Asia, and Oceania","IDN"
12,"LAO","Laos",9,"Southeast Asia",4,"Southeast Asia, East Asia, and Oceania","admin0",9,"Southeast Asia",4,"Southeast Asia, East Asia, and Oceania","LAO"
13,"MYS","Malaysia",9,"Southeast Asia",4,"Southeast Asia, East Asia, and Oceania","admin0",9,"Southeast Asia",4,"Southeast Asia, East Asia, and Oceania","MYS"
14,"MDV","Maldives",9,"Southeast Asia",4,"Southeast Asia, East Asia, and Oceania","admin0",9,"Southeast Asia",4,"Southeast Asia, East Asia, and Oceania","MDV"
15,"MMR","Myanmar",9,"Southeast Asia",4,"Southeast Asia, East Asia, and Oceania","admin0",9,"Southeast Asia",4,"Southeast Asia, East Asia, and Oceania","MMR"
16,"PHL","Philippines",9,"Southeast Asia",4,"Southeast Asia, East Asia, and Oceania","admin0",9,"Southeast Asia",4,"Southeast Asia, East Asia, and Oceania","PHL"
17,"LKA","Sri Lanka",9,"Southeast Asia",4,"Southeast Asia, East Asia, and Oceania","admin0",9,"Southeast Asia",4,"Southeast Asia, East Asia, and Oceania","LKA"
18,"THA","Thailand",9,"Southeast Asia",4,"Southeast Asia, East Asia, and Oceania","admin0",9,"Southeast Asia",4,"Southeast Asia, East Asia, and Oceania","THA"
19,"TLS","Timor-Leste",9,"Southeast Asia",4,"Southeast Asia, East Asia, and Oceania","admin0",9,"Southeast Asia",4,"Southeast Asia, East Asia, and Oceania","TLS"
20,"VNM","Vietnam",9,"Southeast Asia",4,"Southeast Asia, East Asia, and Oceania","admin0",9,"Southeast Asia",4,"Southeast Asia, East Asia, and Oceania","VNM"
22,"FJI","Fiji",21,"Oceania",4,"Southeast Asia, East Asia, and Oceania","admin0",21,"Oceania",4,"Southeast Asia, East Asia, and Oceania","FJI"
23,"KIR","Kiribati",21,"Oceania",4,"Southeast Asia, East Asia, and Oceania","admin0",21,"Oceania",4,"Southeast Asia, East Asia, and Oceania","KIR"
24,"MHL","Marshall Islands",21,"Oceania",4,"Southeast Asia, East Asia, and Oceania","admin0",21,"Oceania",4,"Southeast Asia, East Asia, and Oceania","MHL"
25,"FSM","Federated States of Micronesia",21,"Oceania",4,"Southeast Asia, East Asia, and Oceania","admin0",21,"Oceania",4,"Southeast Asia, East Asia, and Oceania","FSM"
26,"PNG","Papua New Guinea",21,"Oceania",4,"Southeast Asia, East Asia, and Oceania","admin0",21,"Oceania",4,"Southeast Asia, East Asia, and Oceania","PNG"
27,"WSM","Samoa",21,"Oceania",4,"Southeast Asia, East Asia, and Oceania","admin0",21,"Oceania",4,"Southeast Asia, East Asia, and Oceania","WSM"
28,"SLB","Solomon Islands",21,"Oceania",4,"Southeast Asia, East Asia, and Oceania","admin0",21,"Oceania",4,"Southeast Asia, East Asia, and Oceania","SLB"
29,"TON","Tonga",21,"Oceania",4,"Southeast Asia, East Asia, and Oceania","admin0",21,"Oceania",4,"Southeast Asia, East Asia, and Oceania","TON"
30,"VUT","Vanuatu",21,"Oceania",4,"Southeast Asia, East Asia, and Oceania","admin0",21,"Oceania",4,"Southeast Asia, East Asia, and Oceania","VUT"
33,"ARM","Armenia",32,"Central Asia",31,"Central Europe, Eastern Europe, and Central Asia","admin0",32,"Central Asia",31,"Central Europe, Eastern Europe, and Central Asia","ARM"
34,"AZE","Azerbaijan",32,"Central Asia",31,"Central Europe, Eastern Europe, and Central Asia","admin0",32,"Central Asia",31,"Central Europe, Eastern Europe, and Central Asia","AZE"
35,"GEO","Georgia",32,"Central Asia",31,"Central Europe, Eastern Europe, and Central Asia","admin0",32,"Central Asia",31,"Central Europe, Eastern Europe, and Central Asia","GEO"
36,"KAZ","Kazakhstan",32,"Central Asia",31,"Central Europe, Eastern Europe, and Central Asia","admin0",32,"Central Asia",31,"Central Europe, Eastern Europe, and Central Asia","KAZ"
37,"KGZ","Kyrgyzstan",32,"Central Asia",31,"Central Europe, Eastern Europe, and Central Asia","admin0",32,"Central Asia",31,"Central Europe, Eastern Europe, and Central Asia","KGZ"
38,"MNG","Mongolia",32,"Central Asia",31,"Central Europe, Eastern Europe, and Central Asia","admin0",32,"Central Asia",31,"Central Europe, Eastern Europe, and Central Asia","MNG"
39,"TJK","Tajikistan",32,"Central Asia",31,"Central Europe, Eastern Europe, and Central Asia","admin0",32,"Central Asia",31,"Central Europe, Eastern Europe, and Central Asia","TJK"
40,"TKM","Turkmenistan",32,"Central Asia",31,"Central Europe, Eastern Europe, and Central Asia","admin0",32,"Central Asia",31,"Central Europe, Eastern Europe, and Central Asia","TKM"
41,"UZB","Uzbekistan",32,"Central Asia",31,"Central Europe, Eastern Europe, and Central Asia","admin0",32,"Central Asia",31,"Central Europe, Eastern Europe, and Central Asia","UZB"
43,"ALB","Albania",42,"Central Europe",31,"Central Europe, Eastern Europe, and Central Asia","admin0",42,"Central Europe",31,"Central Europe, Eastern Europe, and Central Asia","ALB"
44,"BIH","Bosnia and Herzegovina",42,"Central Europe",31,"Central Europe, Eastern Europe, and Central Asia","admin0",42,"Central Europe",31,"Central Europe, Eastern Europe, and Central Asia","BIH"
45,"BGR","Bulgaria",42,"Central Europe",31,"Central Europe, Eastern Europe, and Central Asia","admin0",42,"Central Europe",31,"Central Europe, Eastern Europe, and Central Asia","BGR"
46,"HRV","Croatia",42,"Central Europe",31,"Central Europe, Eastern Europe, and Central Asia","admin0",42,"Central Europe",31,"Central Europe, Eastern Europe, and Central Asia","HRV"
47,"CZE","Czech Republic",42,"Central Europe",31,"Central Europe, Eastern Europe, and Central Asia","admin0",42,"Central Europe",31,"Central Europe, Eastern Europe, and Central Asia","CZE"
48,"HUN","Hungary",42,"Central Europe",31,"Central Europe, Eastern Europe, and Central Asia","admin0",42,"Central Europe",31,"Central Europe, Eastern Europe, and Central Asia","HUN"
49,"MKD","Macedonia",42,"Central Europe",31,"Central Europe, Eastern Europe, and Central Asia","admin0",42,"Central Europe",31,"Central Europe, Eastern Europe, and Central Asia","MKD"
50,"MNE","Montenegro",42,"Central Europe",31,"Central Europe, Eastern Europe, and Central Asia","admin0",42,"Central Europe",31,"Central Europe, Eastern Europe, and Central Asia","MNE"
51,"POL","Poland",42,"Central Europe",31,"Central Europe, Eastern Europe, and Central Asia","admin0",42,"Central Europe",31,"Central Europe, Eastern Europe, and Central Asia","POL"
52,"ROU","Romania",42,"Central Europe",31,"Central Europe, Eastern Europe, and Central Asia","admin0",42,"Central Europe",31,"Central Europe, Eastern Europe, and Central Asia","ROU"
53,"SRB","Serbia",42,"Central Europe",31,"Central Europe, Eastern Europe, and Central Asia","admin0",42,"Central Europe",31,"Central Europe, Eastern Europe, and Central Asia","SRB"
54,"SVK","Slovakia",42,"Central Europe",31,"Central Europe, Eastern Europe, and Central Asia","admin0",42,"Central Europe",31,"Central Europe, Eastern Europe, and Central Asia","SVK"
55,"SVN","Slovenia",42,"Central Europe",31,"Central Europe, Eastern Europe, and Central Asia","admin0",42,"Central Europe",31,"Central Europe, Eastern Europe, and Central Asia","SVN"
57,"BLR","Belarus",56,"Eastern Europe",31,"Central Europe, Eastern Europe, and Central Asia","admin0",56,"Eastern Europe",31,"Central Europe, Eastern Europe, and Central Asia","BLR"
58,"EST","Estonia",56,"Eastern Europe",31,"Central Europe, Eastern Europe, and Central Asia","admin0",56,"Eastern Europe",31,"Central Europe, Eastern Europe, and Central Asia","EST"
59,"LVA","Latvia",56,"Eastern Europe",31,"Central Europe, Eastern Europe, and Central Asia","admin0",56,"Eastern Europe",31,"Central Europe, Eastern Europe, and Central Asia","LVA"
60,"LTU","Lithuania",56,"Eastern Europe",31,"Central Europe, Eastern Europe, and Central Asia","admin0",56,"Eastern Europe",31,"Central Europe, Eastern Europe, and Central Asia","LTU"
61,"MDA","Moldova",56,"Eastern Europe",31,"Central Europe, Eastern Europe, and Central Asia","admin0",56,"Eastern Europe",31,"Central Europe, Eastern Europe, and Central Asia","MDA"
62,"RUS","Russia",56,"Eastern Europe",31,"Central Europe, Eastern Europe, and Central Asia","admin0",56,"Eastern Europe",31,"Central Europe, Eastern Europe, and Central Asia","RUS"
63,"UKR","Ukraine",56,"Eastern Europe",31,"Central Europe, Eastern Europe, and Central Asia","admin0",56,"Eastern Europe",31,"Central Europe, Eastern Europe, and Central Asia","UKR"
66,"BRN","Brunei",65,"High-income Asia Pacific",64,"High-income","admin0",65,"High-income Asia Pacific",64,"High-income","BRN"
67,"JPN","Japan",65,"High-income Asia Pacific",64,"High-income","admin0",65,"High-income Asia Pacific",64,"High-income","JPN"
68,"KOR","South Korea",65,"High-income Asia Pacific",64,"High-income","admin0",65,"High-income Asia Pacific",64,"High-income","KOR"
69,"SGP","Singapore",65,"High-income Asia Pacific",64,"High-income","admin0",65,"High-income Asia Pacific",64,"High-income","SGP"
71,"AUS","Australia",70,"Australasia",64,"High-income","admin0",70,"Australasia",64,"High-income","AUS"
72,"NZL","New Zealand",70,"Australasia",64,"High-income","admin0",70,"Australasia",64,"High-income","NZL"
74,"AND","Andorra",73,"Western Europe",64,"High-income","admin0",73,"Western Europe",64,"High-income","AND"
75,"AUT","Austria",73,"Western Europe",64,"High-income","admin0",73,"Western Europe",64,"High-income","AUT"
76,"BEL","Belgium",73,"Western Europe",64,"High-income","admin0",73,"Western Europe",64,"High-income","BEL"
77,"CYP","Cyprus",73,"Western Europe",64,"High-income","admin0",73,"Western Europe",64,"High-income","CYP"
78,"DNK","Denmark",73,"Western Europe",64,"High-income","admin0",73,"Western Europe",64,"High-income","DNK"
79,"FIN","Finland",73,"Western Europe",64,"High-income","admin0",73,"Western Europe",64,"High-income","FIN"
80,"FRA","France",73,"Western Europe",64,"High-income","admin0",73,"Western Europe",64,"High-income","FRA"
81,"DEU","Germany",73,"Western Europe",64,"High-income","admin0",73,"Western Europe",64,"High-income","DEU"
82,"GRC","Greece",73,"Western Europe",64,"High-income","admin0",73,"Western Europe",64,"High-income","GRC"
83,"ISL","Iceland",73,"Western Europe",64,"High-income","admin0",73,"Western Europe",64,"High-income","ISL"
84,"IRL","Ireland",73,"Western Europe",64,"High-income","admin0",73,"Western Europe",64,"High-income","IRL"
85,"ISR","Israel",73,"Western Europe",64,"High-income","admin0",73,"Western Europe",64,"High-income","ISR"
86,"ITA","Italy",73,"Western Europe",64,"High-income","admin0",73,"Western Europe",64,"High-income","ITA"
87,"LUX","Luxembourg",73,"Western Europe",64,"High-income","admin0",73,"Western Europe",64,"High-income","LUX"
88,"MLT","Malta",73,"Western Europe",64,"High-income","admin0",73,"Western Europe",64,"High-income","MLT"
89,"NLD","Netherlands",73,"Western Europe",64,"High-income","admin0",73,"Western Europe",64,"High-income","NLD"
90,"NOR","Norway",73,"Western Europe",64,"High-income","admin0",73,"Western Europe",64,"High-income","NOR"
91,"PRT","Portugal",73,"Western Europe",64,"High-income","admin0",73,"Western Europe",64,"High-income","PRT"
92,"ESP","Spain",73,"Western Europe",64,"High-income","admin0",73,"Western Europe",64,"High-income","ESP"
93,"SWE","Sweden",73,"Western Europe",64,"High-income","admin0",73,"Western Europe",64,"High-income","SWE"
94,"CHE","Switzerland",73,"Western Europe",64,"High-income","admin0",73,"Western Europe",64,"High-income","CHE"
95,"GBR","United Kingdom",73,"Western Europe",64,"High-income","admin0",73,"Western Europe",64,"High-income","GBR"
97,"ARG","Argentina",96,"Southern Latin America",64,"High-income","admin0",96,"Southern Latin America",64,"High-income","ARG"
98,"CHL","Chile",96,"Southern Latin America",64,"High-income","admin0",96,"Southern Latin America",64,"High-income","CHL"
99,"URY","Uruguay",96,"Southern Latin America",64,"High-income","admin0",96,"Southern Latin America",64,"High-income","URY"
101,"CAN","Canada",100,"High-income North America",64,"High-income","admin0",100,"High-income North America",64,"High-income","CAN"
102,"USA","United States",100,"High-income North America",64,"High-income","admin0",100,"High-income North America",64,"High-income","USA"
105,"ATG","Antigua and Barbuda",104,"Caribbean",103,"Latin America and Caribbean","admin0",104,"Caribbean",103,"Latin America and Caribbean","ATG"
106,"BHS","The Bahamas",104,"Caribbean",103,"Latin America and Caribbean","admin0",104,"Caribbean",103,"Latin America and Caribbean","BHS"
107,"BRB","Barbados",104,"Caribbean",103,"Latin America and Caribbean","admin0",104,"Caribbean",103,"Latin America and Caribbean","BRB"
108,"BLZ","Belize",104,"Caribbean",103,"Latin America and Caribbean","admin0",104,"Caribbean",103,"Latin America and Caribbean","BLZ"
109,"CUB","Cuba",104,"Caribbean",103,"Latin America and Caribbean","admin0",104,"Caribbean",103,"Latin America and Caribbean","CUB"
110,"DMA","Dominica",104,"Caribbean",103,"Latin America and Caribbean","admin0",104,"Caribbean",103,"Latin America and Caribbean","DMA"
111,"DOM","Dominican Republic",104,"Caribbean",103,"Latin America and Caribbean","admin0",104,"Caribbean",103,"Latin America and Caribbean","DOM"
112,"GRD","Grenada",104,"Caribbean",103,"Latin America and Caribbean","admin0",104,"Caribbean",103,"Latin America and Caribbean","GRD"
113,"GUY","Guyana",104,"Caribbean",103,"Latin America and Caribbean","admin0",104,"Caribbean",103,"Latin America and Caribbean","GUY"
114,"HTI","Haiti",104,"Caribbean",103,"Latin America and Caribbean","admin0",104,"Caribbean",103,"Latin America and Caribbean","HTI"
115,"JAM","Jamaica",104,"Caribbean",103,"Latin America and Caribbean","admin0",104,"Caribbean",103,"Latin America and Caribbean","JAM"
116,"LCA","Saint Lucia",104,"Caribbean",103,"Latin America and Caribbean","admin0",104,"Caribbean",103,"Latin America and Caribbean","LCA"
117,"VCT","Saint Vincent and the Grenadines",104,"Caribbean",103,"Latin America and Caribbean","admin0",104,"Caribbean",103,"Latin America and Caribbean","VCT"
118,"SUR","Suriname",104,"Caribbean",103,"Latin America and Caribbean","admin0",104,"Caribbean",103,"Latin America and Caribbean","SUR"
119,"TTO","Trinidad and Tobago",104,"Caribbean",103,"Latin America and Caribbean","admin0",104,"Caribbean",103,"Latin America and Caribbean","TTO"
121,"BOL","Bolivia",120,"Andean Latin America",103,"Latin America and Caribbean","admin0",120,"Andean Latin America",103,"Latin America and Caribbean","BOL"
122,"ECU","Ecuador",120,"Andean Latin America",103,"Latin America and Caribbean","admin0",120,"Andean Latin America",103,"Latin America and Caribbean","ECU"
123,"PER","Peru",120,"Andean Latin America",103,"Latin America and Caribbean","admin0",120,"Andean Latin America",103,"Latin America and Caribbean","PER"
125,"COL","Colombia",124,"Central Latin America",103,"Latin America and Caribbean","admin0",124,"Central Latin America",103,"Latin America and Caribbean","COL"
126,"CRI","Costa Rica",124,"Central Latin America",103,"Latin America and Caribbean","admin0",124,"Central Latin America",103,"Latin America and Caribbean","CRI"
