Year,True q(5),5q0
1995, 62.215 , 0.0622 
1996, 63.219 , 0.0632 
1997, 65.128 , 0.0651 
1998, 67.223 , 0.0672 
1999, 69.599 , 0.0696 
2000, 71.711 , 0.0717 
2001, 73.253 , 0.0733 
2002, 74.199 , 0.0742 
2003, 73.910 , 0.0739 
2004, 72.418 , 0.0724 
2005, 68.894 , 0.0689 
2006, 64.839 , 0.0648 
2007, 61.396 , 0.0614 
2008, 55.072 , 0.0551 
2009, 50.181 , 0.0502 
2010, 48.982 , 0.0490 
2011, 47.669 , 0.0477 
2012, 46.403 , 0.0464 
2013, 45.146 , 0.0451 
2014, 43.952 , 0.0440 
2015, 42.901 , 0.0429 
2016, 41.884 , 0.0419 
2017, 40.894 , 0.0409 
2018, 39.930 , 0.0399 
2019, 38.994 , 0.0390 
